Factory Name;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;Postal Code;Country / Region;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
MAS Active Pvt Ltd - Contourline Division;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;No 231 Nawala Road;Nugegoda;Colombo;10240;Sri Lanka;S ASIA;2357;1739;84;0
MAS Al Safi Apparel Manufacturing LLC ;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Dulailet Alhamaideh Leb and Mlaih;Madaba;Madaba;11636;Jordan;EMEA;575;421;80;19
MAS Fabrics (Private) Limited - Matrix;FINISHED GOODS - COMPONENTS;Apparel;Nike;;MAS HOLDINGS;MAS Fabric park;Warakapola ;Kegalla;71610;Sri Lanka;S ASIA;1172;677;46;0
MAS FABRICS (PRIVATE) LIMITED – INTIMO DIVISION;MATERIALS;Apparel;Nike;;MAS HOLDINGS;MAS Fabric Park;Thulhiriya;Kurunegala;71610;Sri Lanka;S ASIA;1380;696;21;0
Mas Fabrics Pvt Ltd - Methliya;FINISHED GOODS;Apparel;Nike;Collegiate;MAS HOLDINGS;Mas Fabric Park;Kegalle;Kegalla;71000;Sri Lanka;S ASIA;2885;2282;86;0
MAS KREEDA  Vaanavil ;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Plot No 2 Agriculture Faculty Road;Kilinochchi;Kilinochchi;42000;Sri Lanka;S ASIA;2353;2272;67;0
MAS KREEDA Balangoda ;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Weligepola Road;Balangoda;Ratnapura;70100;Sri Lanka;S ASIA;1170;1075;90;0
MAS KREEDA Intimo;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Lot 49 58 59 BEPZ;Colombo;Colombo;42000;Sri Lanka;S ASIA;235;165;85;0
MAS KREEDA Mihintale ;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Isuru Uyana;Mihintale;Anuradhapura;50300;Sri Lanka;S ASIA;1121;956;96;0
MAS KREEDA Shadeline ;FINISHED GOODS;Apparel;Nike;Collegiate;MAS HOLDINGS;MAPAKADEWEWA;MAHIYANGANAYA;Monaragala;90730;Sri Lanka;S ASIA;156;123;85;0
MAS KREEDA Synergy ;FINISHED GOODS;Apparel;Nike;Collegiate;MAS HOLDINGS;A3 Seethawaka Export Processing zone;Avissawella;Colombo;10700;Sri Lanka;S ASIA;2432;2312;65;0
MAXIM IMPRESSION LANKA (PVT) LTD;MATERIALS;Apparel;Nike;;MAXIM;62 4 Habarakada Homagama;Homagama;Colombo;10200;Sri Lanka;S ASIA;168;96;28;0
Maxim Label and Packaging Vietnam Co., Ltd;MATERIALS;Apparel;Nike;;MAXIM;No 33  6th Street;Thuan An;Bình Duong;72000;Vietnam;SE ASIA;661;391;54;3
MAXIM SMART MANUFACTURING CO LTD;MATERIALS;Apparel;Nike;;MAXIM;No 398 Jinxiu Rd Yaozhuang Town Jiashan;Jiaxing;Zhejiang;314117;China;N ASIA;590;293;62;0
Maxport Limited (Viet Nam) - Thai Binh Branch;FINISHED GOODS;Apparel;Nike;Collegiate;MAXPORT;Lot with area of 110238 m2;Vu Thu;Thái Bình;410000;Vietnam;SE ASIA;2755;2341;75;0
MAXPORT LIMITED VIET NAM _ NAM DINH BRANCH MAXPORT 06;FINISHED GOODS;Apparel;Nike;Collegiate;MAXPORT;No 361 Nguyen Van Troi;Nam Dinh;Nam Ðnh;42000;Vietnam;SE ASIA;453;402;87;0
MAXPORT LIMITED VIET NAM NAM DINH BRANCH MAXPORT 05;FINISHED GOODS;Apparel;Nike;Collegiate;MAXPORT;Lot No85 Map No44;Nam Dinh;Nam Ðnh;42000;Vietnam;SE ASIA;1504;1222;83;0
MEN CHUEN VIETNAM CO.,  LTD.;MATERIALS;Apparel;Nike;;MEN CHUEN;7A Road Nhon Trach II Industrial Zone;Dong Nai;Ðng Nai;810000;Vietnam;SE ASIA;255;82;36;37
Milteks Tekstil Sanayi ve Ticaret A S;FINISHED GOODS;Apparel;Nike;;MILTEKS;Bakir ve Pirinc Sanayicileri Sitesi;Istanbul;Istanbul;34520;Turkey;EMEA;182;85;43;0
Milteks Tekstil Sanayi Ve Ticaret A.S. Ajara Textile Ltd;FINISHED GOODS;Apparel;Nike;;MILTEKS;3 Tbeti Street, King Tamara Distr.;Batumi;Ajaria;6001;Georgia;EMEA;671;582;88;0
Minone Enterprises Co Ltd;FINISHED GOODS;Equipment;Nike;Collegiate;MINONE;253 MOO 6 NONGBOT SUBDISTRICT;NANGRONG;Buri Ram;31110;Thailand;SE ASIA;599;474;77;0
NAM THIEN COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;Lot IV No 13 No 4 Street;Ho Chi Minh;Ho Chi Minh;700000;Vietnam;SE ASIA;466;402;78;0
NAN YANG;MATERIALS;Apparel;Nike;;NAN YANG;19 Moo 5 Setakit Road Tamai;Krathoomban;Samut Sakhon;74000;Thailand;SE ASIA;788;655;46;40
Nan Yang Garment;FINISHED GOODS;Apparel;Nike;Collegiate;NAN YANG;37 Moo 5 Ladyao Banrai Rd;Ladyao Nakhonsawan;Nakhon Sawan;60150;Thailand;SE ASIA;1029;605;78;0
NAN YANG GARMENT CO., LTD.;FINISHED GOODS;Apparel;Nike;Collegiate;NAN YANG;27 Phetkasem Rd;Nongkham;Bangkok;10160;Thailand;SE ASIA;1130;945;66;70
Nan Yang Garment Co., Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;NAN YANG;99 1 Moo 4 Banna;Wachirabaramee;Phichit;66140;Thailand;SE ASIA;1672;1550;76;0
NAN YANG GARMENT CO.,LTD;FINISHED GOODS;Apparel;Nike;Collegiate;NAN YANG;166 168 170 172 Moo 1;Sampran;Nakhon Pathom;73110;Thailand;SE ASIA;1425;1365;65;82
Nantong Nafung Gym Equipment Co.,Ltd;FINISHED GOODS;Equipment;Nike;;NNG;Group 2 Tongshan Village Yuelai Town Haimen District;Nantong;Jiangsu;226131;China;N ASIA;26;22;54;0
National Emblem Wang Chu Embroidery Co.;FINISHED GOODS - COMPONENTS;Apparel;Nike;;NATIONAL EMBLEM;5F  No 3  Aly 11 Ln  327;New Taipei City;New Taipei;Zhonge District;Taiwan;N ASIA;14;10;100;40
NICE APPAREL COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;2 7 8 slash 1 to 3 Soi Ngamwongwan 25  Yaek 19;MUANG DISTRICT;Nonthaburi;11000;Thailand;SE ASIA;1067;666;71;38
NICE APPAREL COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;369 Moo 4 Manjakiri Road Muang Khonkaen;Khonkaen;Khon Kaen;40000;Thailand;SE ASIA;1134;688;68;0
Nice Apparel Company Limited Branch Chumphae;FINISHED GOODS;Apparel;Nike;;NICE APPAREL;219 Moo 2 Maliwan Road T Non Udom;Chumpae;Khon Kaen;40130;Thailand;SE ASIA;3294;3215;72;0
Ningbo Bell Garment Industrial Co. Ltd;FINISHED GOODS;Apparel;Nike;;NINGBO BELL;No 422 Jianghu Road Jiangbei Investment Zone C;Ningbo;Zhejiang;315033;China;N ASIA;127;104;74;0
Ningbo Eastex;FINISHED GOODS;Apparel;Nike;Collegiate;NINGBO EASTEX;No 218 Shun Tai Road Zhenhai District;Ningbo;Zhejiang;32151;China;N ASIA;180;153;50;0
Ningbo Huayao Textile co.,ltd;FINISHED GOODS;Apparel;Nike;Collegiate;SHENZHOU;No 888 Tinhai Road Chunxiao Industrial Zone;Ningbo;Zhejiang;315800;China;N ASIA;613;550;86;0
NINGBO MITSUBANA APPERAL CO., LTD;FINISHED GOODS;Apparel;Converse;;NINGBO MITSUBANA;NO 1338 YUFAN ROAD E ZHENHAI;NINGBO;Zhejiang;315207;China;N ASIA;76;72;79;0
Ningbo Shenzhou Knitting Co. Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;SHENZHOU;50 TianMuShan Road;Ningbo;Zhejiang;315800;China;N ASIA;2612;2447;71;0
NINGBO SHENZHOU KNITTING CO. LTD. (PRINTING MILL & MC);FINISHED GOODS;Apparel;Nike;Collegiate;SHENZHOU;NO 636 Fuchunjiang Road;Ningbo;Zhejiang;315800;China;N ASIA;626;547;49;0
Ningbo Shenzhou Knitting Co. Ltd. -#6 Garment Factory;FINISHED GOODS;Apparel;Nike;Collegiate;SHENZHOU;INTERSECTION OF DAGANG ROAD 5th ROAD;NingBo;Zhejiang;315800;China;N ASIA;2352;2100;70;0
NINGBO SHENZHOU KNITTING CO., LTD;MATERIALS;Apparel;Nike;;SHENZHOU;No 18 Yongjiang Rd;Ningbo;Zhejiang;315800;China;N ASIA;5434;4955;38;0
NV Apparel Company Limited;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;Lot C1 Binh Hoa Industrial Zone Chau Thanh An Giang;An Giang;An Giang;880000;Vietnam;SE ASIA;2999;2882;78;0
Olive Apparel (Cambodia) Co., Ltd;FINISHED GOODS;Apparel;Nike;;RAMATEX;National Road No 3 Phum Prey Kambot;Phnom Penh;Phnom Penh;12405;Cambodia;SE ASIA;3404;3166;89;0
Oregon Screen Impressions, Inc.;FINISHED GOODS;Apparel;Nike;;OREGON SCREEN IMPRESSIONS;3580 NE Broadway;Portland;Oregon;97232;USA;AMERICAS;101;71;65;0
ORIENTAL GARMENT AN GIANG CO LTD;FINISHED GOODS;Apparel;Nike;;ORIENTAL GARMENT;PLOT K BINH HOA IZ BINH HOA COMMUNE CHAU THANH DISTRICT;AN GIANG;An Giang;90000;Vietnam;SE ASIA;607;529;81;0
Oriental Garment Co., Ltd – Nongbuadang;FINISHED GOODS;Apparel;Nike;;ORIENTAL GARMENT;178 Moo 17;Nongbuadang;Chaiyaphum;36210;Thailand;SE ASIA;349;346;71;0
ORIGINAL APPAREL PRIVATE LIMITED;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Weerawila Junction ;Weerawila;Hambantota;82632;Sri Lanka;S ASIA;540;464;85;0
Pacific Athletic Wear, Inc. ;FINISHED GOODS;Apparel;Nike;;PACIFIC ATHLETIC WEAR;7340 Lampson Avenue;Garden Grove;California;92841;USA;AMERICAS;101;86;65;0
PAIHO (DONGGUAN 3);MATERIALS;Footwear;Nike;;PAIHO GROUP;HUANBAO INDUSTRY DISTRICT;DONGGUAN;Guangdong;523998;China;N ASIA;1800;950;55;0
PAIHO (TAIWAN)- Knitting;MATERIALS;Footwear;Nike;;PAIHO GROUP;NO 575 HO KANG ROAD HO MEI TOWN CHANG HUA HSIEN,CHANG HUA HSIEN,Changhua;CHANG HUA HSIEN;Changhua;50844;Taiwan;N ASIA;813;462;58;43
PAIHO (VIETNAM);MATERIALS;Footwear;Nike;;PAIHO GROUP;Lot 30 32 34 No3 Road Tan Tao Industrial Park;Ho Chi Minh City;Ho Chi Minh;71909;Vietnam;SE ASIA;3097;2481;53;2
PAIHO (WUXI 1);MATERIALS;Apparel;Nike;;PAIHO GROUP;NO 18 HEXIN RD XISHAN ECONOMIC DEVELOPMENT ZONE;WUXI CITY;Jiangsu;214101;China;N ASIA;981;685;80;2
Papillion Textile (Cambodia) Co., Ltd;FINISHED GOODS;Apparel;Nike;;TUNTEX;Vattanac II Industry Park National Road No 3;Phnom Penh;Phnom Penh;120505;Cambodia;SE ASIA;1161;1054;95;0
Paramount Apparel International, LLC.;FINISHED GOODS;Apparel;Nike;Collegiate;PARAMOUNT;1916 Imperial Way;Bourbon;Missouri;65441;USA;AMERICAS;293;92;60;0
Paramount Apparel LLC. Winona MO;FINISHED GOODS;Apparel;Nike;Collegiate;PARAMOUNT;Highway 19;Winona;Missouri;65588;USA;AMERICAS;115;109;60;0
Paxar Packaging Guangzhou Ltd.;MATERIALS;Apparel;Nike;;AVERY DENNISON;Tan Shan Village  Hua Long Town  Panyu;Guangzhou;Guangdong;511434;China;N ASIA;4049;2756;47;0
PETTENATI;FINISHED GOODS;Apparel;Nike;;PETTENATI;Rod RSC 453 Km 2 4;Caxias Do Sul;Rio Grande do Sul;95010.550;Brazil;AMERICAS;596;478;88;5
PETTENATI CENTRO AMERICA S.A. DE C.V.;MATERIALS;Apparel;Nike;;PETTENATI;Km 42 Carretera A Santa Ana; Coatepeque;Santa Ana;2204;El Salvador;AMERICAS;850;760;20;1
PHUC TAI TAY NINH CO., LTD;FINISHED GOODS;Footwear;Nike;;SPORTS GEAR;Lot B7 Tan Hoi Industrial cluster;Tay Ninh;Tây Ninh;80000;Vietnam;SE ASIA;350;309;85;0
Pilotknit Sport Wear Co.,ltd.;FINISHED GOODS;Apparel;Nike;;PILOT;89 13 Moo 2 Rama ll Road T Kokkrabur;Muang;Samut Sakhon;74000;Thailand;SE ASIA;752;656;64;83
Pine Tree Company for Textile Manufacturing PSC;FINISHED GOODS;Apparel;Nike;;RAMATEX;AL-MUWAQQAR INDUSTRIAL ESTATE;AMMAN;Amman;110109;Jordan;EMEA;2286;2039;69;76
Pinghu Lipai Bags and Luggage Co., Ltd.;FINISHED GOODS;Equipment;Nike;;PINGHU LIPAI;No123 Hehe Road;Pinghu;Zhejiang;314200;China;N ASIA;191;163;75;0
Pingxiang City Guangxuan Footwear Co. Ltd.;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;SHOETOWN;Zhuting industrial zone, Xuanfeng town, Luxi county Pingxiang city,;Pingxiang;Jiangxi;337000;China;N ASIA;842;760;95;0
PMI Joinease plastic & metal products;FINISHED GOODS;Equipment;Nike;;PMI JOINEASE;Mutoutan Group No 2 Lizhidun Villiage;Hui Zhou;Guangdong;516131;China;N ASIA;1121;854;49;0
PONY LEATHER CORPORATION (TAIWAN);MATERIALS;Footwear;Nike;;PONY LEATHER CORPORATION;NO 191 SEC 3 CHUNG SHAN ROAD;Changhua;Changhua;512;Taiwan;N ASIA;250;190;40;0
Pou Chen Corporation;FINISHED GOODS;Footwear;Nike;;POU CHEN;No. 2, Fugong Rd, Fuxing Township;Changhua;Changhua;506;Taiwan;N ASIA;1750;512;64;0
Pou Chen Vietnam Enterprise Ltd.;FINISHED GOODS;Footwear;Nike;;POU CHEN;Nguyen Ai Quoc Street, An Hoa Quarter, Hoa An Ward,;Bien Hoa City;Ðng Nai;76123;Vietnam;SE ASIA;16060;12339;83;0
POVOLO SRL;FINISHED GOODS;Apparel;Nike;;POVOLO;VIA GRAN BRETAGNA 1;Gallarate;Varese;21013;Italy;EMEA;24;16;92;31
PPSEC COMPANY LIMITED;FINISHED GOODS - COMPONENTS;Apparel;Nike;;SEC ACCESSORIES;Phnom Penh Special Economic Zone;Phnom Penh;Phnom Penh;120907;Cambodia;SE ASIA;370;220;6;7
PRIME ASIA (CHINA);MATERIALS;Footwear;Nike;;PRIME ASIA;YUE YUEN INDUSTRIAL PARK;Dongguan,Guangdong;Guangdong;511700;China;N ASIA;878;588;37;0
PRIME ASIA (VIETNAM);MATERIALS;Footwear;Nike;;PRIME ASIA;LOT V 2 MY XUAN A2 INDUSTRIAL ZONE TAN THANH DISTRICT;VungTau;Bà Ra - Vung Tàu;78000;Vietnam;SE ASIA;1428;940;58;0
Pro Kingtex Vietnam Co., Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;EAGLE NICE;D10/89 Q National High Way 1A Tan Tao Ward Binh Tan District;HO CHI MINH CITY;Ho Chi Minh;700000;Vietnam;SE ASIA;2087;1227;83;1
PROMAX TEXTILE (VIETNAM) CO. LTD;MATERIALS;Apparel;Nike;;PROMAX TEXTILE;NO 33 6TH ROAD FORMOSA ZONE;Dong Nai;Ðng Nai;76000;Vietnam;SE ASIA;868;788;20;3
PT Adis Dimension Footwear;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;Jl. Raya Serang Km. 24;Tangerang;Banten;15610;Indonesia;S ASIA;8623;8364;51;0
PT Batang Apparel Indonesia;FINISHED GOODS;Apparel;Nike;;KUKDONG;Nanom Desa Wringin Gintung Kecamatan;Batang;Jawa Tengah;51261;Indonesia;S ASIA;2163;2024;84;0
PT Chang Shin Indonesia;FINISHED GOODS;Footwear;Nike;;CHANGSHIN;Jl Ir H Juanda No 008;Karawang;Jawa Barat;41374;Indonesia;S ASIA;2058;1828;78;0
PT DAEWON ECO INDONESIA;MATERIALS;Footwear;Nike;;DAEWON;Jl Pinang Blok F23 No 11E and 11F Delta Silicon 3;Bekasi;Jawa Barat;17530;Indonesia;S ASIA;37;20;9;25
PT Dayup Indo;FINISHED GOODS;Equipment;Nike;Collegiate;DAYUP;NUSANTARA BONDED ZONE KBN MADURA STREET 6 BLOCK D13A;JAKARTA;Jakarta Raya;14140;Indonesia;S ASIA;1220;1118;94;0
PT Eagle Nice Indonesia;FINISHED GOODS;Apparel;Nike;Collegiate;EAGLE NICE;JL Raya Serang;Kabupaten Serang;Banten;42186;Indonesia;S ASIA;2906;1989;73;1
PT ECLAT TEXTILE INTERNATIONAL;FINISHED GOODS;Apparel;Nike;Collegiate;ECLAT;Jl SAPTARENGGA No 11 Kel Wonorejo Kec Kaliwungu;Kendal;Jawa Tengah;51372;Indonesia;S ASIA;3041;2843;95;1
PT KMK Global Sports / K1;FINISHED GOODS;Footwear;Nike;;KMK;Cikupa Mas Industrial Estate and Warehouse;Tangerang;Banten;15710;Indonesia;S ASIA;9970;8194;85;0
PT Lucky Textile Semarang Demak;FINISHED GOODS;Apparel;Nike;;TUNTEX;Dukuh Tegalrejo RT 001 RW 002;Demak;Jawa Tengah;59571;Indonesia;S ASIA;1442;1192;95;1
PT Marel Sukses Pratama;FINISHED GOODS;Equipment;Converse;;PTM;JL Baru Mulungan Gondang Penen ;Yogyakarta;Yogyakarta;55285;Indonesia;S ASIA;166;124;41;0
PT MAS ARYA INDONESIA;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Tugu Wijaya Road VI 7 Kawasan Industri;Semarang;Jawa;50181;Indonesia;S ASIA;2110;1960;100;1
PT Mercindo Global Manufaktur;FINISHED GOODS;Equipment;Nike;;MERCINDO;Jl Raya Semarang Bawen Km 29 Desa Samban Bawen;Ungaran;Jawa Tengah;50661;Indonesia;S ASIA;2416;2287;72;0
PT Mitra Garindo Perkasa;FINISHED GOODS;Apparel;Nike;;MAP;JL Pancasila V 21 Cicadas Gunung Putri Bogor;Bogor;Jawa Barat;16964;Indonesia;S ASIA;759;658;86;0
PT Morich Indo Fashion;FINISHED GOODS;Apparel;Nike;;MORICH;JL RAYA KARANGJATI KM 25 GEMBONGAN KARANGJATI BERGAS;UNGARAN;Jawa Tengah;50552;Indonesia;S ASIA;2566;2450;78;0
PT Nikomas Gemilang;FINISHED GOODS;Footwear;Nike;;POU CHEN;Jalan Raya Serang KM71 Desa Tambak Kibin;Serang;Banten;42186;Indonesia;S ASIA;23522;19181;84;0
PT PAXAR INDONESIA (AVERY DENNISON GROUP);MATERIALS;Apparel;Nike;;AVERY DENNISON;Jalan Inti1  Blok C1 No 14;Bekasi;Jawa Barat;17550;Indonesia;S ASIA;488;350;20;0
PT Pratama Abadi Industri;FINISHED GOODS;Footwear;Nike;;PRATAMA;Jl. Raya Serpong Km. 7;Tangerang Selatan;Banten;15325;Indonesia;S ASIA;5657;4479;83;0
PT PRATAMA ABADI INDUSTRI;FINISHED GOODS;Footwear;Nike;;PRATAMA;Jalan Raya Bandung Tasikmalaya KM 43 Desa Cijolang;Garut;Jawa Barat;44186;Indonesia;S ASIA;6729;6401;94;0
PT PRATAMA ABADI INDUSTRI;FINISHED GOODS;Footwear;Nike;;PRATAMA;Jl Sukabumi Cianjur KM14 Sukabumi West Java;Sukabumi;Jawa Barat;43191;Indonesia;S ASIA;15665;13738;82;0
PT Rodeo Prima Jaya;FINISHED GOODS;Apparel;Nike;;PRIMA;Jl Raya Kaligawe Km 7 Semarang;Semarang;Jawa Tengah;50117;Indonesia;S ASIA;609;560;89;0
PT SELALU CINTA INDONESIA;FINISHED GOODS;Footwear;Nike;;KMK;JL LINGKAR SELATAN SALATIGA DUSUN TETEP ;SALATIGA;Jawa Tengah;50735;Indonesia;S ASIA;13988;11601;84;0
PT Semarang Garment;FINISHED GOODS;Apparel;Nike;Collegiate;KUKDONG;JL Soekarno Hatta Km 25;Semarang;Jawa Tengah;50552;Indonesia;S ASIA;3646;3383;94;0
PT Shoetown Kasokandel Indonesia;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;SHOETOWN;Jalan Raya Sumedang Cirebon;Majalengka;Banten;45453;Indonesia;S ASIA;4943;4503;49;0
PT Sport Glove Indonesia ;FINISHED GOODS;Equipment;Nike;;PT SPORT;Dusun Krandon Desa Pandowoharjo Sleman Yogyakarta Indonesia;Sleman;Yogyakarta;55512;Indonesia;S ASIA;1626;1429;76;0
PT Tong Hong Tannery;MATERIALS;Footwear;Nike;;TONG HONG;KAWASAN INDUSTRI MODERN CIKANDE ;Kabupaten Serang;Banten;42186;Indonesia;S ASIA;287;237;45;3
PT Trigoldenstar Wisesa;FINISHED GOODS;Apparel;Nike;;TRIGOLDENSTAR;Jl Rumambe Desa Anggadita Kec Klari;Karawang;Jawa Barat;41371;Indonesia;S ASIA;132;98;80;0
PT Tuntex Garment Indonesia-TGR;FINISHED GOODS;Apparel;Nike;;TUNTEX;JLN MOH TOHA KM2 No 29;Tangerang;Banten;15112;Indonesia;S ASIA;41;1;98;100
PT Victory Chingluh Indonesia;FINISHED GOODS;Footwear;Nike;;CHING LUH;JL Raya Pasarkemis Rajeg;Tangerang;Banten;15560;Indonesia;S ASIA;4322;4019;55;0
PT Victory Chingluh Indonesia;FINISHED GOODS;Footwear;Nike;;CHING LUH;Jl. Otonom Pasar Kemis No.48/49 RT.003/RW.004, Pasar Kemis;Tangerang;Banten;15560;Indonesia;S ASIA;15580;13439;74;0
PT YC TEC INDONESIA;FINISHED GOODS - COMPONENTS;Footwear;Nike;;YC TEC CORPORATION;Kp Cisantri RT 002 RW001;Purwakarta;Jawa Barat;41181;Indonesia;S ASIA;746;679;60;1
PT. CCH INDONESIA;FINISHED GOODS;Apparel;Nike;;CHUAN CHENG;Jl Desa Giriasih No 16;Bandung Barat;Jawa Barat;40552;Indonesia;S ASIA;1840;1695;61;0
PT. CHANGSHIN  REKSA JAYA;FINISHED GOODS;Footwear;Nike;;CHANGSHIN;Kp Karang Mekar RT 002 RW 008;GARUT;Jawa Barat;44152;Indonesia;S ASIA;10921;9611;97;0
PT. CHING LUH INDONESIA;FINISHED GOODS;Footwear;Nike;;CHING LUH;JL. Raya Serang Km.16;Cikupa;Banten;15710;Indonesia;S ASIA;9447;8615;77;0
PT. DEAN SHOES;FINISHED GOODS;Footwear;Nike;;DEAN SHOES;Dusan Serang RT 10 RW 05;Karawang Timur;Jawa Barat;41373;Indonesia;S ASIA;3338;2971;90;1
PT. Feng Tay Indonesia Enterprises;FINISHED GOODS;Footwear;Nike;;FENG TAY;Jl Raya Banjaran Km 14 6;Bandung;Jawa Barat;40376;Indonesia;S ASIA;16185;14126;64;0
PT. Formosa Bag Indonesia;FINISHED GOODS;Equipment;Nike;;FORMOSA;Jl Raya Semarang Puwodadi Km 26 Gebangan Tegowanu;Grobogan;Jawa Tengah;58165;Indonesia;S ASIA;5367;4349;81;1
PT. Gelindo Garmentama;FINISHED GOODS;Apparel;Nike;;EAGLE NICE;Jalan Cangkuang Kulon No 38;Bandung;Jawa Barat;40239;Indonesia;S ASIA;2013;1793;55;0
PT. Grand Best Indonesia;FINISHED GOODS;Apparel;Nike;;TUNTEX;Jl Coaster No 8 Blok B 18 19 20 21 22;SEMARANG;Jawa Tengah;50174;Indonesia;S ASIA;1652;1506;94;0
PT. Kanindo Makmur Jaya;FINISHED GOODS;Equipment;Nike;Collegiate;KANAAN;Jalan Raya Jepara Kudus Km 19 Dusun Pendosawalan;Jepara ;Jawa Tengah;59462;Indonesia;S ASIA;5352;5255;62;0
PT. POU YUEN INDONESIA;FINISHED GOODS;Footwear;Nike;;POU CHEN;JALAN RAYA CIANJUR BANDUNG KM7, KAMPUNG LEMBUR SAWAH;CIANJUR;Jawa Barat;43284;Indonesia;S ASIA;12122;9959;57;0
PT. SHOETOWN LIGUNG INDONESIA;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;JALAN LANUD SUKANI, DESA BUNTU;MAJALENGKA;Jawa Barat;45456;Indonesia;S ASIA;11440;9852;36;0
PT. TKG TAEKWANG INDONESIA;FINISHED GOODS;Footwear;Nike;;TAEKWANG;Belendung II RT 17 RW 06;Belendung, Cibogo;Jawa Barat;41285;Indonesia;S ASIA;27990;23692;87;0
PT.WONEEL MIDAS LEATHERS;FINISHED GOODS;Equipment;Nike;;PT. Woneel Midas Leathers;Bangunsari Rt04 Rw03 Candirejo Semin;Gunung kidul;Yogyakarta;55854;Indonesia;S ASIA;1443;1314;74;0
Qingdao Changshin Shoes Co., Ltd.;FINISHED GOODS;Footwear;Nike;;CHANGSHIN;Matiquan Road 6;QingDao;Shandong;266300;China;N ASIA;2782;2307;90;0
Qingdao Changshin Shoes Co., LTD. Jimo Factory;FINISHED GOODS;Footwear;Nike;;CHANGSHIN;Mocheng Road59 2;Qingdao;Shandong;266200;China;N ASIA;426;351;42;0
Qingyuan City Liannan Yao Nationality Autonomous County Rongfang Footwear;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;50 Yan Jiang East Road,San Jiang Town Lian Nan County;QING YUAN;Guangdong;513300;China;N ASIA;758;703;96;0
QUANG VIET ENTERPRISE CO., LTD;FINISHED GOODS;Apparel;Nike;;QUANG VIET;UNIT 2  CU CHI TOWN;HO CHI MINH;Ho Chi Minh;70000;Vietnam;SE ASIA;5332;4787;88;0
Quanzhou  Fengze Yisheng Leather Co;FINISHED GOODS;Equipment;Converse;;QFY;BUILDING 3  SOUTH  XUNMEI  INDUSTRY  DISTRICT;Quanzhou;Fujian;362000;China;N ASIA;38;31;53;0
Quanzhou Unison Light Industrial Manufacturing Co. Ltd.;FINISHED GOODS;Equipment;Nike;;QUANZHOU UNISON LIGHT INDUSTRIAL;ROOM28 YANGSHI STREET JINLONG YUXIA PARK;Quanzhou;Fujian;362000;China;N ASIA;62;49;65;0
R. A. INTERTRADING S. A.;FINISHED GOODS;Apparel;Nike;;RA INTERTRADING;JOSE IGNACIO RUCCI 3951;CAPITAL FEDERAL;Buenos Aires;C1439FVQ;Argentina;AMERICAS;810;700;45;60
Ramatex Apparel Suzhou Ltd.;FINISHED GOODS;Apparel;Nike;;RAMATEX;115 Ting Nan Lu, Wei Ting Town, Suzhou Industrial Park,;Suzhou;Jiangsu;215121;China;N ASIA;596;551;92;0
Ramatex Printing Garment (Suzhou) Ltd;MATERIALS;Apparel;Nike;;RAMATEX;168 Liufeng Road;Suzhou;Jiangsu;215124;China;N ASIA;570;495;35;0
Ramatex Textiles Industrial Sdn Bhd;MATERIALS;Apparel;Nike;;RAMATEX;PLO 230 Sri Gading Industrial Estate;Johor;Johor;83000;Malaysia;S ASIA;3678;3301;15;71
Regent Garment Factory Ltd ;FINISHED GOODS;Apparel;Nike;;CRYSTAL;KCN Lai Vu  H Kim Thanh T Hai Duong;Hai Duong;Hi Duong;170000;Vietnam;SE ASIA;1746;1470;80;0
Regina Miracle International Vietnam Co., Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;REGINA MIRACLE;NO 9 East West Road VSIP Hai Phong;Hai Phong;Hai Phong;180000;Vietnam;SE ASIA;1876;1770;71;0
Regina Miracle Intimate Apparel Shenzhen Limited;FINISHED GOODS;Apparel;Nike;Collegiate;REGINA MIRACLE;No 5 Cengyao Industrial Estate;Shenzhen;Guangdong;518132;China;N ASIA;41;38;60;0
